soc_code,isco08_code
47-2061,7119
47-2071,9312
47-2072,9312
47-2073,8342
47-2081,7126
47-2082,7123
47-2111,7411
47-2121,7125
47-2131,7127
47-2132,7127
47-2141,7131
47-2142,7132
47-2151,7126
47-2152,7126
47-2161,7133
47-2171,7212
47-2181,7214
47-2211,7213
47-2221,7214
49-1011,3122
49-2011,7421
49-2021,7421
49-2022,7421
49-2091,7421
49-2092,7421
49-2093,7412
49-2094,7412
49-2095,7412
49-2096,7421
49-2097,7421
49-2098,7422
49-3011,7231
49-3021,7233
49-3022,7231
49-3023,7231
49-3031,7233
49-3041,7234
49-3042,7233
49-3043,7234
49-3051,7234
49-3052,7234
49-3053,7234
49-3091,7234
49-3092,7231
49-3093,7233
49-9011,7412
49-9012,7412
49-9021,7127
49-9031,7233
49-9041,7233
49-9043,7233
49-9044,7233
49-9045,8189
49-9051,7421
49-9052,7421
49-9061,7421
49-9062,7311
49-9063,7311
49-9064,7311
49-9071,7233
49-9091,7233
49-9092,7233
49-9094,7311
49-9095,7421
49-9096,7233
49-9097,7421
51-1011,3122
51-2011,8211
51-2021,7543
51-2022,7412
51-2023,8219
51-2031,8219
51-2041,8219
51-2051,8219
51-2091,8219
51-2092,8219
51-3011,7512
51-3021,7513
51-3022,7513
51-3023,7513
51-3091,7514
51-3092,7512
51-3093,8160
51-4011,7223
51-4012,7223
51-4021,8121
51-4022,8122
51-4023,8122
51-4031,7224
51-4032,8122
51-4033,7223
51-4034,7223
51-4035,7223
51-4041,7221
51-4051,8122
51-4052,8121
51-4061,7214
51-4062,7222
51-4071,7214
51-4072,8121
51-4081,8121
51-4111,7222
51-4121,7214
51-4122,7212
51-4191,8122
51-4192,7222
51-4193,7224
51-4194,7224
53-1031,8331
53-1041,3151
53-1042,3152
53-1043,3153
53-1044,3154
53-2011,3153
53-2012,3153
53-2021,3155
53-2022,3155
53-2031,3155
53-3011,8331
53-3021,8331
53-3022,8331
53-3031,8322
53-3032,8332
53-3033,8332
53-3041,8322
53-3051,8331
53-3052,8331
53-3053,8332
53-4011,8311
53-4012,8311
53-4013,8312
53-4021,8312
53-4022,8312
53-4031,8312
53-4041,8350
53-4099,8312
53-5011,3152
53-5021,3152
53-5022,3152
53-5031,3152
53-6011,8341
53-6021,8343
53-6031,4323
53-6041,4323
53-6051,9621
53-6061,9621
53-7011,8343
53-7021,8343
53-7031,8343
53-7032,8342
53-7033,8342
53-7041,9333
53-7051,8344
53-7061,9621
53-7062,9622
53-7063,9621
53-7064,9621
53-7065,9623
53-7072,9621
53-7073,9621
53-7081,9621
53-7111,9611
53-7121,9621
39-1011,5151
39-1012,5153
39-1021,5151
39-1022,5151
39-2011,5113
39-2021,5164
39-3011,5151
39-3012,5151
39-3019,5151
39-3021,3423
39-3031,5163
39-3091,5161
39-3092,5169
39-3093,5169
39-4011,5142
39-4012,5142
39-4021,5142
39-4031,5142
39-5011,5141
39-5012,5141
39-5091,5142
39-5092,5142
39-5093,5142
39-5094,5142
39-6011,5311
39-6012,5311
39-7011,5153
39-7012,5153
39-9011,5311
39-9021,5322
39-9031,3423
39-9032,5169
39-9041,5169
37-1011,5153
37-1012,5153
37-2011,9412
37-2012,9112
37-2019,9129
37-2021,9613
37-3011,9214
37-3012,9214
37-3013,9214
33-1011,3355
33-1012,3355
33-1021,3355
33-2011,5411
33-2021,5411
33-2022,5411
33-3011,3351
33-3012,3351
33-3021,3355
33-3031,5412
33-3041,5412
33-3051,5412
33-3052,5413
33-9011,5414
33-9021,5414
33-9031,5414
33-9032,5414
33-9091,5419
33-9092,5419
33-9093,5419
27-1011,2161
27-1012,2651
27-1013,2651
27-1014,2651
27-1019,2659
27-1021,2163
27-1022,2166
27-1023,2163
27-1024,2166
27-1025,2162
27-1026,2163
27-1027,2163
27-1029,2163
27-2011,2652
27-2012,2652
27-2021,2652
27-2022,3421
27-2023,3421
27-2031,2653
27-2032,2653
27-2041,2652
27-2042,2652
27-3011,2641
27-3012,2656
27-3021,2642
27-3022,2642
27-3023,2641
27-3031,2643
27-3041,2641
27-3042,2641
27-3043,2641
27-3091,2642
27-4011,3521
27-4012,3521
27-4013,3521
27-4014,3521
27-4021,3431
27-4031,3521
27-4032,3521
